Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths30-01-2020,Kerala,1,0,0,001-02-2020,Kerala,2,0,0,002-02-2020,Kerala,3,0,0,002-03-2020,Telengana,1,0,0,002-03-2020,Delhi,1,0,0,003-03-2020,Rajasthan,0,1,0,003-03-2020,Kerala,3,0,3,004-03-2020,Uttar Pradesh,6,0,0,004-03-2020,Haryana,0,2,0,0
04-03-2020,Rajasthan,1,14,0,0
05-03-2020,Delhi,2,0,0,0
05-03-2020,Uttar Pradesh,7,0,0,0
06-03-2020,Delhi,3,0,0,0
06-03-2020,Rajasthan,1,14,0,0
07-03-2020,Union Territory of Ladakh,2,0,0,0
07-03-2020,Tamil Nadu,1,0,0,0
07-03-2020,Delhi,3,0,0,0
08-03-2020,Kerala,8,0,3,0
08-03-2020,Haryana,0,2,
08-03-2020,Uttar Pradesh,7,0,0,0
09-03-2020,Karnataka,1,0,0,0
09-03-2020,Maharashtra,2,0,0,0
09-03-2020,Punjab,1,0,0,0
09-03-2020,Union Territory of Jammu and Kashmir,1,0,0,0
10-03-2020,Kerala,15,0,3,0
10-03-2020,Maharashtra,5,0,0,0
10-03-2020,Karnataka,4,0,0,0
11-03-2020,Maharashtra,2,0,0,0
11-03-2020,Delhi,5,0,0,0
11-03-2020,Karnataka,4,0,0,0
12-03-2020,Uttar Pradesh,10,1,0,0
12-03-2020,Union Territory of Ladakh,3,0,0,0
12-03-2020,Maharashtra,11,0,0,0
12-03-2020,Andhra Pradesh,1,0,0,0
13-03-2020,Karnataka,6,0,0,1
13-03-2020,Maharashtra,14,0,0,0
14-03-2020,Delhi,7,0,1,1
14-03-2020,Uttar Pradesh,11,1,5,0
14-03-2020,Union Territory of Jammu and Kashmir,2,0,0,0
15-03-2020,Maharashtra,32,0,0,0
15-03-2020,Rajasthan,2,2,3,0
15-03-2020,Telengana,3,0,1,0
15-03-2020,Uttarakhand,1,0,0,0
16-03-2020,Odisha,1,0,0,0
16-03-2020,Union Territory of Ladakh,4,0,0,0
17-03-2020,Maharashtra,36,3,0,1
17-03-2020,Telengana,3,2,1,0
18-03-2020,Pondicherry,1,0,0,0
19-03-2020,Gujarat,5,0,0,0
20-03-2020,West Bengal,2,0,0,0
